first_name;last_name;last_name_first_name;no_hit;more_than_one_hit;orcid_id;orcid_record_person_identified;orcid_records_works_listed;notes;gender;level;e_name;e_type;e_city;e_region;e_country;source;date_of_input;coder
Berthold;Vogel;Vogel, Berthold;FALSCH;FALSCH;0009-0002-1118-6229;FALSCH;FALSCH;Undisplayable ORCID but likely this director;M;.;.;.;.;.;.;.;.;.
Claudia;Vogel;Vogel, Claudia;FALSCH;FALSCH;0000-0001-9412-807X;WAHR;WAHR;;F;.;Neubrandenburg University of Applied Sciences;.;Neubrandenburg;Mecklenburg-Vorpommern;DE;.;.;.
Constantin;Wagner;Wagner, Constantin;FALSCH;FALSCH;0000-0003-2718-7357;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Nora;Waitkus;Waitkus, Nora;FALSCH;FALSCH;0000-0001-6905-3360;WAHR;WAHR;;F;.;.;.;.;.;.;.;.;.
Katharina;Walgenbach;Walgenbach, Katharina;FALSCH;FALSCH;0009-0000-8322-7718;WAHR;WAHR;;F;Prof; FernUniversität in Hagen;.;Hagen;Nordrhein-Westfalen;DE;.;.;.
Jan;Wehrheim;Wehrheim, Jan;WAHR;FALSCH;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Christoph;Weischer;Weischer, Christoph;WAHR;FALSCH;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Mareike;Weil;Weil, Mareike;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Anja;Weiß;Weiß, Anja;FALSCH;FALSCH;0000-0002-9676-8326;WAHR;WAHR;;F;Prof;University of Duisburg-Essen;.;Essen;Nordrhein-Westfalen;DE;.;.;.
Bernd;Weiß;Weiß, Bernd;FALSCH;FALSCH;0000-0002-1176-8408;WAHR;FALSCH;;M;Prof;University of Duisburg-Essen;.;Duisburg;Nordrhein-Westfalen;DE;.;.;.
Felix;Weiß;Weiß, Felix;FALSCH;FALSCH;0000-0002-1685-3732;WAHR;WAHR;;M;Prof;Aarhus University;.;Aarhus;Jutland;DK;.;.;.
Ulrich;Wenzel;Wenzel, Ulrich;FALSCH;WAHR;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Christine;Wimbauer;Wimbauer, Christine;FALSCH;FALSCH;0000-0003-1925-0475;WAHR;WAHR;;F;Prof;Humboldt University of Berlin;.;Berlin;.;DE;.;.;.
Oliver;Winkler;Winkler, Oliver;FALSCH;FALSCH;0000-0001-8431-9577;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Michael;Windzio;Windzio, Michael;FALSCH;FALSCH;0000-0002-7681-5893;WAHR;WAHR;;M;Prof;University of Bremen;.;Bremen;.;DE;.;.;.
Heike;Wirth;Wirth, Heike;FALSCH;FALSCH;0000-0003-4278-5806;WAHR;FALSCH;Undisplayable ORCID but likey this GESIS research assistant;F;.;.;.;.;.;.;.;.;.
Nils;Witte;Witte, Nils;FALSCH;WAHR;;FALSCH;FALSCH; ;M;.;.;.;.;.;.;.;.;.
Tobias;Wolbring;Wolbring, Tobias;FALSCH;FALSCH;0000-0002-9053-7965;WAHR;FALSCH;;M;Prof;Friedrich-Alexander-Universität Erlangen-Nürnberg;.;Erlangen;Bayern;DE;.;.;.
Fridolin;Wolf;Wolf, Fridolin;FALSCH;FALSCH;0009-0002-6041-278X;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Philip;Wotschack;Wotschack, Philip;FALSCH;FALSCH;0000-0001-5899-9310;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Aysel;Yollu-Tok;Yollu-Tok, Aysel;FALSCH;FALSCH;0000-0002-4728-8385;WAHR;WAHR;;F;Prof;BSP Business School Berlin;.;Berlin;.;DE;.;.;.
Hannah;Zagel;Zagel, Hannah;FALSCH;FALSCH;0000-0002-5307-3380;WAHR;WAHR;;F;.;TU Dortmund University;.;Dortmund;Nordrhein-Westfalen;DE;.;.;.
Frithjof;Zerger;Zerger, Frithjof;WAHR;FALSCH;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Dariuš;Zifonun;Zifonun, Dariuš;FALSCH;FALSCH;0000-0003-3758-2203;WAHR;FALSCH;Undisplayable ORCID but likely this professor ;M;.;.;.;.;.;.;.;.;.
Conrad;Ziller;Ziller, Conrad;FALSCH;FALSCH;0000-0002-2282-636X;WAHR;WAHR;;M;.;University of Duisburg-Essen;.;Duisburg;Nordrhein-Westfalen;DE;.;.;.
Lena;Zimmer;Zimmer, Lena;FALSCH;FALSCH;0000-0002-6932-0219;WAHR;FALSCH;Undisplayable ORCID but likely one of the authors of this articles that implies she is a sociologist;F;.;.;.;.;.;.;.;.;.
Katharina;Zimmermann;Zimmermann, Katharina;FALSCH;FALSCH;0000-0002-1074-3356;WAHR;WAHR;;F;Prof;Universität Hamburg;.;Hamburg;Hamburg;DE;.;.;.
Okka;Zimmermann;Zimmermann, Okka;FALSCH;FALSCH;0000-0002-1719-1777;WAHR;FALSCH; Research assistant at TU Braunschweig at the institute for sociology with linked (undisplayable) ORCID;F;.;TU Braunschweig;.;Braunschweig;Niedersachsen;DE;https://www.tu-braunschweig.de/ses/team/zimmermann;.;.
Gundula;Zoch;Zoch, Gundula;FALSCH;FALSCH;0000-0002-4398-4535;WAHR;WAHR;;F;Prof;University of Oldenburg;.;Oldenburg;Schleswig-Holstein;DE;https://www.gundulazoch.de/;.;.
Henriette;Bering;Bering, Henriette;FALSCH;FALSCH;0009-0008-4649-5682;WAHR;WAHR;;F;.;University of Bremen;.;Bremen;.;DE;.;.;.
Magdalena;Polloczek;Polloczek, Magdalena;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Marion;Fischer-Neumann;Fischer-Neumann, Marion;FALSCH;FALSCH;0000-0003-0141-6772;WAHR;WAHR;;F;.;University of Duisburg-Essen;.;Duisburg;Nordrhein-Westfalen;DE;.;.;.
Kasimir;Dederichs;Dederichs, Kasimir;FALSCH;FALSCH;0000-0001-9379-0504;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Cosima;Adams;Adams, Cosima;FALSCH;FALSCH;0009-0005-9120-2656;WAHR;WAHR;;F;.;Humboldt-Universität zu Berlin;.;Berlin;Berlin;DE;.;.;.
